Constraint(Draft, fk(user_id, User))
Constraint(Events::DiscussionForked, fk(parent_id, Event))
Constraint(Events::NewCoordinator, fk(eventable_id, Event))
Constraint(Events::NewCoordinator, fk(discussion_id, Discussion))
Constraint(Events::NewCoordinator, fk(user_id, User))
Constraint(Events::NewCoordinator, fk(parent_id, Event))
Constraint(Events::PollCreated, fk(eventable_id, Event))
Constraint(Events::PollCreated, fk(discussion_id, Discussion))
Constraint(Events::PollCreated, fk(user_id, User))
Constraint(Events::PollCreated, fk(parent_id, Event))
Constraint(Events::NewDiscussion, fk(eventable_id, Event))
Constraint(Events::NewDiscussion, fk(discussion_id, Discussion))
Constraint(Events::NewDiscussion, fk(user_id, User))
Constraint(Events::NewDiscussion, fk(parent_id, Event))
Constraint(Events::PollClosingSoon, fk(eventable_id, Event))
Constraint(Events::PollClosingSoon, fk(discussion_id, Discussion))
Constraint(Events::PollClosingSoon, fk(user_id, User))
Constraint(Events::PollClosingSoon, fk(parent_id, Event))
Constraint(Events::PollClosedByUser, fk(eventable_id, Event))
Constraint(Events::PollClosedByUser, fk(discussion_id, Discussion))
Constraint(Events::PollClosedByUser, fk(user_id, User))
Constraint(Events::PollClosedByUser, fk(parent_id, Event))
Constraint(Events::NewComment, fk(eventable_id, Event))
Constraint(Events::NewComment, fk(discussion_id, Discussion))
Constraint(Events::NewComment, fk(user_id, User))
Constraint(Events::NewComment, fk(parent_id, Event))
Constraint(Events::InvitationCreated, fk(eventable_id, Event))
Constraint(Events::InvitationCreated, fk(discussion_id, Discussion))
Constraint(Events::InvitationCreated, fk(user_id, User))
Constraint(Events::InvitationCreated, fk(parent_id, Event))
Constraint(Events::PollEdited, fk(eventable_id, Event))
Constraint(Events::PollEdited, fk(discussion_id, Discussion))
Constraint(Events::PollEdited, fk(user_id, User))
Constraint(Events::PollEdited, fk(parent_id, Event))
Constraint(Events::UserAddedToGroup, fk(eventable_id, Event))
Constraint(Events::UserAddedToGroup, fk(discussion_id, Discussion))
Constraint(Events::UserAddedToGroup, fk(user_id, User))
Constraint(Events::UserAddedToGroup, fk(parent_id, Event))
Constraint(Events::DiscussionClosed, fk(eventable_id, Event))
Constraint(Events::DiscussionClosed, fk(discussion_id, Discussion))
Constraint(Events::DiscussionClosed, fk(user_id, User))
Constraint(Events::DiscussionClosed, fk(parent_id, Event))
Constraint(Events::StanceCreated, fk(eventable_id, Event))
Constraint(Events::StanceCreated, fk(discussion_id, Discussion))
Constraint(Events::StanceCreated, fk(user_id, User))
Constraint(Events::StanceCreated, fk(parent_id, Event))
Constraint(Events::UserReactivated, fk(eventable_id, Event))
Constraint(Events::UserReactivated, fk(discussion_id, Discussion))
Constraint(Events::UserReactivated, fk(user_id, User))
Constraint(Events::UserReactivated, fk(parent_id, Event))
Constraint(Events::PollOptionAdded, fk(eventable_id, Event))
Constraint(Events::PollOptionAdded, fk(discussion_id, Discussion))
Constraint(Events::PollOptionAdded, fk(user_id, User))
Constraint(Events::PollOptionAdded, fk(parent_id, Event))
Constraint(Events::UserJoinedGroup, fk(eventable_id, Event))
Constraint(Events::UserJoinedGroup, fk(discussion_id, Discussion))
Constraint(Events::UserJoinedGroup, fk(user_id, User))
Constraint(Events::UserJoinedGroup, fk(parent_id, Event))
Constraint(Events::DiscussionDescriptionEdited, fk(eventable_id, Event))
Constraint(Events::DiscussionDescriptionEdited, fk(discussion_id, Discussion))
Constraint(Events::DiscussionDescriptionEdited, fk(user_id, User))
Constraint(Events::DiscussionDescriptionEdited, fk(parent_id, Event))
Constraint(Events::AnnouncementResend, fk(eventable_id, Event))
Constraint(Events::AnnouncementResend, fk(discussion_id, Discussion))
Constraint(Events::AnnouncementResend, fk(user_id, User))
Constraint(Events::AnnouncementResend, fk(parent_id, Event))
Constraint(Events::ReactionCreated, fk(eventable_id, Event))
Constraint(Events::ReactionCreated, fk(discussion_id, Discussion))
Constraint(Events::ReactionCreated, fk(user_id, User))
Constraint(Events::ReactionCreated, fk(parent_id, Event))
Constraint(Events::CommentRepliedTo, fk(eventable_id, Event))
Constraint(Events::CommentRepliedTo, fk(discussion_id, Discussion))
Constraint(Events::CommentRepliedTo, fk(user_id, User))
Constraint(Events::CommentRepliedTo, fk(parent_id, Event))
Constraint(Events::UserMentioned, fk(eventable_id, Event))
Constraint(Events::UserMentioned, fk(discussion_id, Discussion))
Constraint(Events::UserMentioned, fk(user_id, User))
Constraint(Events::UserMentioned, fk(parent_id, Event))
Constraint(Events::CommentEdited, fk(eventable_id, Event))
Constraint(Events::CommentEdited, fk(discussion_id, Discussion))
Constraint(Events::CommentEdited, fk(user_id, User))
Constraint(Events::CommentEdited, fk(parent_id, Event))
Constraint(Events::DiscussionMoved, fk(eventable_id, Event))
Constraint(Events::DiscussionMoved, fk(discussion_id, Discussion))
Constraint(Events::DiscussionMoved, fk(user_id, User))
Constraint(Events::DiscussionMoved, fk(parent_id, Event))
Constraint(Events::MembershipResent, fk(eventable_id, Event))
Constraint(Events::MembershipResent, fk(discussion_id, Discussion))
Constraint(Events::MembershipResent, fk(user_id, User))
Constraint(Events::MembershipResent, fk(parent_id, Event))
Constraint(Events::MembershipRequested, fk(eventable_id, Event))
Constraint(Events::MembershipRequested, fk(discussion_id, Discussion))
Constraint(Events::MembershipRequested, fk(user_id, User))
Constraint(Events::MembershipRequested, fk(parent_id, Event))
Constraint(Events::OutcomeCreated, fk(eventable_id, Event))
Constraint(Events::OutcomeCreated, fk(discussion_id, Discussion))
Constraint(Events::OutcomeCreated, fk(user_id, User))
Constraint(Events::OutcomeCreated, fk(parent_id, Event))
Constraint(Events::AnnouncementCreated, fk(eventable_id, Event))
Constraint(Events::AnnouncementCreated, fk(discussion_id, Discussion))
Constraint(Events::AnnouncementCreated, fk(user_id, User))
Constraint(Events::AnnouncementCreated, fk(parent_id, Event))
Constraint(Events::DiscussionTitleEdited, fk(eventable_id, Event))
Constraint(Events::DiscussionTitleEdited, fk(discussion_id, Discussion))
Constraint(Events::DiscussionTitleEdited, fk(user_id, User))
Constraint(Events::DiscussionTitleEdited, fk(parent_id, Event))
Constraint(Events::DiscussionEdited, fk(eventable_id, Event))
Constraint(Events::DiscussionEdited, fk(discussion_id, Discussion))
Constraint(Events::DiscussionEdited, fk(user_id, User))
Constraint(Events::DiscussionEdited, fk(parent_id, Event))
Constraint(Events::InvitationAccepted, fk(eventable_id, Event))
Constraint(Events::InvitationAccepted, fk(discussion_id, Discussion))
Constraint(Events::InvitationAccepted, fk(user_id, User))
Constraint(Events::InvitationAccepted, fk(parent_id, Event))
Constraint(Events::DiscussionReopened, fk(eventable_id, Event))
Constraint(Events::DiscussionReopened, fk(discussion_id, Discussion))
Constraint(Events::DiscussionReopened, fk(user_id, User))
Constraint(Events::DiscussionReopened, fk(parent_id, Event))
Constraint(Events::MembershipRequestApproved, fk(eventable_id, Event))
Constraint(Events::MembershipRequestApproved, fk(discussion_id, Discussion))
Constraint(Events::MembershipRequestApproved, fk(user_id, User))
Constraint(Events::MembershipRequestApproved, fk(parent_id, Event))
Constraint(Events::GroupIdentityCreated, fk(eventable_id, Event))
Constraint(Events::GroupIdentityCreated, fk(discussion_id, Discussion))
Constraint(Events::GroupIdentityCreated, fk(user_id, User))
Constraint(Events::GroupIdentityCreated, fk(parent_id, Event))
Constraint(Events::PollReopened, fk(eventable_id, Event))
Constraint(Events::PollReopened, fk(discussion_id, Discussion))
Constraint(Events::PollReopened, fk(user_id, User))
Constraint(Events::PollReopened, fk(parent_id, Event))
Constraint(Events::UserReminded, fk(eventable_id, Event))
Constraint(Events::UserReminded, fk(discussion_id, Discussion))
Constraint(Events::UserReminded, fk(user_id, User))
Constraint(Events::UserReminded, fk(parent_id, Event))
Constraint(Subscription, fk(owner_id, User))
Constraint(PollDidNotVote, fk(poll_id, Poll))
Constraint(PollDidNotVote, fk(user_id, User))
Constraint(DiscussionTag, fk(discussion_id, Discussion))
Constraint(DiscussionTag, fk(tag_id, Tag))
Constraint(DiscussionTag, fk(group_id, Group))
Constraint(GroupIdentity, fk(group_id, FormalGroup))
Constraint(GroupIdentity, fk(identity_id, Identities::Base))
Constraint(GroupSurvey, fk(group_id, FormalGroup))
Constraint(GroupSurvey, fk(subscription_id, Subscription))
Constraint(Event, fk(eventable_id, Event))
Constraint(Event, fk(discussion_id, Discussion))
Constraint(Event, fk(user_id, User))
Constraint(Event, fk(parent_id, Event))
Constraint(User, fk(deactivation_response_id, UserDeactivationResponse))
Constraint(Attachment, presence(user_id))
Constraint(Comment, presence(user))
Constraint(Contact, presence(name))
Constraint(Contact, presence(email))
Constraint(Contact, presence(source))
Constraint(Contact, presence(user_id))
Constraint(Discussion, presence(title))
Constraint(Discussion, presence(group))
Constraint(Discussion, presence(author))
Constraint(DiscussionTag, presence(discussion))
Constraint(DiscussionTag, presence(tag))
Constraint(Document, presence(title))
Constraint(Document, presence(doctype))
Constraint(Document, presence(color))
Constraint(Draft, presence(user))
Constraint(Draft, presence(draftable))
Constraint(Event, presence(kind))
Constraint(Event, presence(eventable))
Constraint(FormalGroup, presence(name))
Constraint(FormalGroup, unique([handle]))
Constraint(InvitationAlreadyUsed, presence(group))
Constraint(InvitationAlreadyUsed, presence(user))
Constraint(InvitationAlreadyUsed, unique([group_id, user_id]))
Constraint(MembershipRequest, presence(responder))
Constraint(MembershipRequest, presence(group))
Constraint(Notification, presence(user))
Constraint(Notification, presence(event))
Constraint(Notification, presence(url))
Constraint(Notification, unique([event_id, user_id]))
Constraint(Outcome, presence(statement))
Constraint(Poll, presence(title))
Constraint(PollOption, presence(name))
Constraint(Reaction, presence(user))
Constraint(Reaction, presence(reactable))
Constraint(SearchVector, presence(discussion))
Constraint(SearchVector, presence(search_vector))
Constraint(StanceChoice, presence(poll_option))
Constraint(Tag, presence(group))
Constraint(Tag, presence(name))
Constraint(Tag, presence(color))
Constraint(Theme, presence(name))
Constraint(Translation, presence(translatable))
Constraint(Translation, presence(language))
Constraint(Translation, presence(fields))
Constraint(User, presence(email))
Constraint(User, presence(name))
Constraint(User, presence(legal_accepted))
Constraint(User, unique([email]))
Constraint(User, unique([username]))
Constraint(UserDeactivationResponse, presence(user_id))
Constraint(UserDeactivationResponse, presence(body))
Constraint(Discussion, error if self.public? and group.private_discussions_only?)
Constraint(Discussion, error if self.public? and group.public_discussions_only?)
Constraint(Discussion, not overlap)
Constraint(Poll, not overlap)
